"Sample Number","Sample Name","Concentration","Units","Factor","A260","Pathlength (mm)","260/280","260/280 Alert","260/230","260/230 Alert","Date/Time","Baseline nm","Baseline abs","Account","Session","Measure Type","Calc Method","Instrument","Exposure","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","279","280","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296","297","298","299","300","301","302","303","304","305","306","307","308","309","310","311","312","313","314","315","316","317","318","319","320","321","322","323","324","325","326","327","328","329","330","331","332","333","334","335","336","337","338","339","340","341","342","343","344","345","346","347","348","349","350",
"4","BLANK","","","","","","","","","","2026-05-26 10:55","","","General","114","B","dsDNA","","",
"5","","7.340","ng/uL","50","0.147","10","1.074","Minimum Concentration Limit","0.626","Minimum Concentration Limit","2026-05-26 10:55","340","-0.0052","General","114","M","dsDNA","S-07457:DS11_FX_PLUS:v6.4.3:FW8.38:DB178:","Mic:UV:12:2:6:28:8:a17:L500:S30:LPA0.004:SPA-0.002","0.25283","0.25078","0.25443","0.24597","0.24135","0.24440","0.25302","0.24913","0.24193","0.23918","0.23466","0.23205","0.22795","0.21871","0.20144","0.19213","0.18350","0.17853","0.17505","0.17417","0.16786","0.16431","0.16407","0.16422","0.16570","0.16214","0.15952","0.15809","0.15532","0.15575","0.15363","0.14967","0.14714","0.14346","0.14111","0.13806","0.13936","0.14215","0.14439","0.14723","0.14681","0.14752","0.14589","0.14469","0.14510","0.14042","0.13648","0.13466","0.13597","0.13273","0.13565","0.13659","0.13570","0.13787","0.13791","0.13670","0.13416","0.13550","0.13368","0.13444","0.13669","0.13335","0.12993","0.12524","0.11998","0.11672","0.11464","0.10776","0.09988","0.09866","0.09565","0.09054","0.09018","0.08679","0.08498","0.08358","0.08225","0.07857","0.07669","0.07753","0.07730","0.07752","0.07314","0.07236","0.07059","0.06956","0.06668","0.06495","0.06138","0.05992","0.05922","0.05544","0.05301","0.05067","0.05108","0.04520","0.04122","0.03427","0.02915","0.02753","0.02212","0.02076","0.02045","0.02083","0.02244","0.02443","0.02218","0.02098","0.02251","0.01480","0.00822","0.00671","0.00114","-0.00085","0.00280","0.00186","0.00219","0.00449","0.00547","0.00146","0.00000","-0.00169","-0.00313","-0.00197","-0.00415","-0.00224","-0.00349","-0.00145","-0.00078","-0.00470","-0.01009",
"6","","45.065","ng/uL","50","0.901","10","1.375","Minimum 260/280 Ratio Limit","0.996","Minimum 260/230 Ratio Limit","2026-05-26 10:55","340","-0.00446","General","114","M","dsDNA","S-07457:DS11_FX_PLUS:v6.4.3:FW8.38:DB178:","Mic:UV:12:2:6:28:8:a14:L500:S30:LPA0.107:SPA0.066","1.03861","1.03152","1.03012","1.02001","1.00660","0.98877","0.96791","0.94489","0.92981","0.91871","0.90471","0.87991","0.86201","0.83586","0.80109","0.78312","0.75724","0.74974","0.74195","0.74487","0.74490","0.74326","0.74947","0.75538","0.76927","0.76657","0.77193","0.77952","0.79506","0.80652","0.80852","0.81628","0.82956","0.85365","0.87401","0.88556","0.88380","0.89881","0.90642","0.91285","0.90130","0.89024","0.88165","0.87315","0.86928","0.84989","0.83449","0.81985","0.82193","0.82025","0.81511","0.80635","0.79285","0.78209","0.76804","0.75609","0.73871","0.71685","0.69308","0.67454","0.65534","0.63513","0.61379","0.58633","0.56274","0.54484","0.52686","0.50230","0.47603","0.45846","0.44349","0.42263","0.40104","0.37660","0.35392","0.33701","0.32143","0.30682","0.29268","0.28218","0.27266","0.26130","0.25140","0.23950","0.22792","0.21876","0.20518","0.19700","0.18440","0.17861","0.17224","0.16519","0.16337","0.15221","0.14691","0.13261","0.12744","0.12100","0.11875","0.11173","0.09702","0.09068","0.09300","0.09202","0.08782","0.07835","0.06547","0.06109","0.05808","0.04588","0.03641","0.02949","0.02052","0.01864","0.01788","0.00968","0.00630","0.00505","-0.00078","-0.00289","0.00000","-0.00313","-0.00588","-0.00897","-0.01120","-0.01578","-0.02262","-0.02547","-0.02924","-0.03806","-0.04384",
"7","","33.037","ng/uL","50","0.661","10","1.373","Minimum 260/280 Ratio Limit","2.706","","2026-05-26 10:56","340","-0.00356","General","114","M","dsDNA","S-07457:DS11_FX_PLUS:v6.4.3:FW8.38:DB178:","Mic:UV:12:2:6:28:8:a15:L500:S30:LPA0.109:SPA0.078","0.28407","0.26933","0.25217","0.22593","0.23490","0.23002","0.25554","0.25489","0.24987","0.24779","0.24419","0.25677","0.25730","0.26154","0.25494","0.26367","0.27206","0.28496","0.30912","0.33330","0.36131","0.37329","0.38986","0.40372","0.42617","0.44606","0.46596","0.48085","0.49535","0.50848","0.51673","0.52824","0.54902","0.57137","0.58308","0.58949","0.61389","0.64411","0.65642","0.66472","0.66074","0.65957","0.65528","0.65751","0.64754","0.63778","0.62974","0.62975","0.63286","0.62423","0.61444","0.60258","0.59543","0.58692","0.57532","0.56111","0.54523","0.52507","0.50817","0.49776","0.48114","0.45953","0.44098","0.41524","0.39773","0.38333","0.36705","0.34198","0.31319","0.29594","0.27878","0.26320","0.24214","0.23081","0.21742","0.20032","0.18977","0.17777","0.16631","0.15483","0.14222","0.13062","0.12126","0.11465","0.10976","0.10115","0.09927","0.09384","0.08791","0.08225","0.07434","0.06854","0.06256","0.05812","0.05128","0.04669","0.04393","0.03953","0.04175","0.04078","0.04104","0.04401","0.04375","0.04730","0.04956","0.04172","0.04292","0.04076","0.03601","0.02197","0.01843","0.01062","0.00668","0.00370","-0.01020","-0.01425","-0.01020","-0.00454","-0.00333","-0.00002","0.00000","-0.00160","-0.00225","0.00008","-0.00321","-0.00248","-0.01577","-0.02532","-0.02744","-0.02202","-0.03095",
"7","BLANK","","","","","","","","","","2026-05-26 18:40","","","General","114","B","dsDNA","","",
"8","Water","-26.861","ng/uL","50","-0.537","10","1.267","Minimum Concentration Limit","0.834","Minimum Concentration Limit","2026-05-26 18:42","340","0.00264","General","114","M","dsDNA","S-07457:DS11_FX_PLUS:v6.4.3:FW8.38:DB178:","Mic:UV:12:2:6:28:8:a33:L500:S30:LPA-0.024:SPA0.000","-0.58373","-0.59658","-0.60696","-0.61388","-0.62569","-0.63335","-0.63650","-0.63960","-0.64017","-0.64320","-0.64429","-0.64494","-0.64343","-0.64292","-0.64228","-0.64047","-0.63828","-0.63015","-0.62286","-0.62325","-0.62324","-0.61771","-0.61651","-0.61273","-0.60771","-0.60666","-0.60580","-0.60023","-0.59496","-0.59309","-0.58816","-0.58438","-0.58066","-0.57580","-0.57100","-0.56580","-0.55879","-0.55116","-0.54672","-0.54366","-0.53721","-0.53108","-0.52691","-0.52236","-0.51815","-0.50724","-0.49721","-0.49012","-0.48872","-0.48563","-0.47909","-0.47225","-0.46428","-0.46196","-0.45815","-0.45357","-0.44568","-0.43633","-0.42900","-0.42833","-0.42396","-0.41639","-0.40701","-0.39805","-0.39194","-0.38772","-0.38168","-0.37155","-0.36420","-0.35792","-0.35230","-0.34643","-0.33897","-0.33147","-0.32362","-0.31580","-0.30933","-0.30342","-0.29787","-0.29241","-0.28597","-0.27968","-0.27355","-0.26522","-0.25455","-0.24626","-0.23647","-0.22606","-0.21578","-0.20683","-0.19866","-0.19315","-0.18812","-0.18327","-0.18026","-0.17499","-0.17161","-0.16354","-0.16016","-0.15480","-0.14904","-0.13975","-0.12771","-0.12143","-0.11289","-0.10793","-0.09769","-0.08725","-0.07746","-0.06867","-0.06205","-0.04950","-0.04139","-0.03128","-0.02843","-0.02304","-0.01778","-0.01379","-0.01149","-0.00796","0.00000","0.00774","0.01392","0.01792","0.02442","0.03085","0.03648","0.04186","0.04497","0.04847","0.05646",
"8","BLANK","","","","","","","","","","2026-05-26 18:47","","","General","114","B","dsDNA","","",
"9","Water","-1.129","ng/uL","50","-0.0226","10","0.983","Minimum Concentration Limit","0.326","Minimum Concentration Limit","2026-05-26 18:48","340","-0.00158","General","114","M","dsDNA","S-07457:DS11_FX_PLUS:v6.4.3:FW8.38:DB178:","Mic:UV:12:2:6:28:8:a25:L500:S30:LPA-0.004:SPA-0.002","-0.10293","-0.09931","-0.09898","-0.09408","-0.08513","-0.07821","-0.07652","-0.07303","-0.07023","-0.06849","-0.06927","-0.06669","-0.06525","-0.06608","-0.06517","-0.06745","-0.07013","-0.07032","-0.06490","-0.06549","-0.06407","-0.06572","-0.06406","-0.05995","-0.05198","-0.04605","-0.04357","-0.03977","-0.03776","-0.03345","-0.03114","-0.03079","-0.03544","-0.03789","-0.03735","-0.03959","-0.03743","-0.03075","-0.02703","-0.02552","-0.02257","-0.02285","-0.02159","-0.01765","-0.01448","-0.01591","-0.01389","-0.01359","-0.01338","-0.01145","-0.00972","-0.00947","-0.01213","-0.00982","-0.01215","-0.01205","-0.01277","-0.01487","-0.01941","-0.02430","-0.02296","-0.02722","-0.02733","-0.02494","-0.02284","-0.02227","-0.02019","-0.01687","-0.01532","-0.01332","-0.01230","-0.01269","-0.01162","-0.01189","-0.01174","-0.00953","-0.01068","-0.00998","-0.00907","-0.00838","-0.00823","-0.00689","-0.00677","-0.00982","-0.00863","-0.00995","-0.00617","-0.00365","0.00100","0.00318","0.00504","0.00782","0.00824","0.00743","0.00189","-0.00211","-0.00650","-0.00923","-0.01096","-0.00967","-0.00958","-0.00183","0.00324","0.00863","0.01075","0.01352","0.01737","0.01687","0.01973","0.01621","0.01222","0.01089","0.01003","0.00744","0.00360","0.00102","-0.00155","-0.00070","0.00206","0.00004","0.00000","0.00306","0.00655","0.00628","0.00816","0.00785","0.00197","0.00248","0.00440","0.00363","0.00252",
"10","Water","-20.407","ng/uL","50","-0.408","10","1.357","Minimum Concentration Limit","0.486","Minimum Concentration Limit","2026-05-26 18:50","340","0.0106","General","114","M","dsDNA","S-07457:DS11_FX_PLUS:v6.4.3:FW8.38:DB178:","Mic:UV:12:2:6:28:8:a25:L500:S30:LPA0.017:SPA0.036","-0.93832","-0.93060","-0.92320","-0.91734","-0.89919","-0.89033","-0.88393","-0.86710","-0.85420","-0.84544","-0.83908","-0.82539","-0.81240","-0.79669","-0.76728","-0.74571","-0.72860","-0.70909","-0.68634","-0.66878","-0.65069","-0.63497","-0.62104","-0.60683","-0.58936","-0.57497","-0.56365","-0.54956","-0.53538","-0.52411","-0.51372","-0.50506","-0.49175","-0.47578","-0.46140","-0.45104","-0.44204","-0.42618","-0.41877","-0.41213","-0.40814","-0.40379","-0.39791","-0.39171","-0.38384","-0.37720","-0.36731","-0.36373","-0.35999","-0.35686","-0.35345","-0.34773","-0.34130","-0.33578","-0.33540","-0.33013","-0.32307","-0.31319","-0.30791","-0.30433","-0.30073","-0.30035","-0.29055","-0.28032","-0.27372","-0.26829","-0.26273","-0.25575","-0.24945","-0.24238","-0.23824","-0.23384","-0.22766","-0.22632","-0.21814","-0.20999","-0.20582","-0.20015","-0.19362","-0.18893","-0.18493","-0.17791","-0.17810","-0.17657","-0.16960","-0.16683","-0.16366","-0.15528","-0.14524","-0.13703","-0.12793","-0.11907","-0.11605","-0.11203","-0.11307","-0.11295","-0.11290","-0.11413","-0.11298","-0.10674","-0.09858","-0.08698","-0.07724","-0.07016","-0.06535","-0.05653","-0.04883","-0.04619","-0.04126","-0.03789","-0.03313","-0.02884","-0.02468","-0.02271","-0.02440","-0.02280","-0.01878","-0.01273","-0.00957","-0.00656","0.00000","0.00359","0.01394","0.01941","0.02502","0.02817","0.03265","0.03808","0.04371","0.04923","0.04955",
