"Sample Number","Sample Name","RFU","Concentration from curve","Units","Dilution Factor","Sample Stock Concentration","Sample Stock Units","Assay","Curve Used","Curve Type","R^2","LED","Date/Time","Account","Session","Instrument","Exposure","Trend line Origin","Std 1 value","Std 1 RFU average","Std 1 rep 1","Std 1 rep 2","Std 1 rep 3","Std 2 value","Std 2 RFU average","Std 2 rep 1","Std 2 rep 2","Std 2 rep 3",
"7","1","319.114","3.898","ng/mL","1","779.570","ng/mL","Qubit dsDNA HS","UNSAVED","Qubit dsDNA HS","","BLUE","2026-05-26 16:26","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","115.213","115.213","","","500","26,937.4","26,937.4","","",
"8","2","428.480","5.935","ng/mL","1","1.187","ng/uL","Qubit dsDNA HS","UNSAVED","Qubit dsDNA HS","","BLUE","2026-05-26 16:27","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","115.213","115.213","","","500","26,937.4","26,937.4","","",
"9","3","310.125","3.730","ng/mL","1","0.746","ng/uL","Qubit dsDNA HS","UNSAVED","Qubit dsDNA HS","","BLUE","2026-05-26 16:27","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","115.213","115.213","","","500","26,937.4","26,937.4","","",
"10","4","1,111.485","18.440","ng/mL","1","3.688","ng/uL","Qubit dsDNA HS","UNSAVED","Qubit dsDNA HS","","BLUE","2026-05-26 16:28","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","115.213","115.213","","","500","26,937.4","26,937.4","","",
"11","5","1,013.170","16.653","ng/mL","1","3.331","ng/uL","Qubit dsDNA HS","UNSAVED","Qubit dsDNA HS","","BLUE","2026-05-26 16:28","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","115.213","115.213","","","500","26,937.4","26,937.4","","",
"12","6","872.108","14.084","ng/mL","1","2.817","ng/uL","Qubit dsDNA HS","UNSAVED","Qubit dsDNA HS","","BLUE","2026-05-26 16:29","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","115.213","115.213","","","500","26,937.4","26,937.4","","",
"13","6","837.992","13.461","ng/mL","10","0.269","ng/uL","Qubit dsDNA HS","UNSAVED","Qubit dsDNA HS","","BLUE","2026-05-26 16:31","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","115.213","115.213","","","500","26,937.4","26,937.4","","",
"14","6","1,019.141","16.762","ng/mL","10","0.335","ng/uL","Qubit dsDNA HS","UNSAVED","Qubit dsDNA HS","","BLUE","2026-05-26 16:31","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","115.213","115.213","","","500","26,937.4","26,937.4","","",
"15","1","525.702","7.609","ng/mL","1","1.522","ng/uL","Qubit dsDNA HS","Lw-2026-05-28","Qubit dsDNA HS","","BLUE","2026-05-28 11:53","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","111.322","111.322","","","500","27,636.6","27,636.6","","",
"16","2","473.461","6.669","ng/mL","1","1.334","ng/uL","Qubit dsDNA HS","Lw-2026-05-28","Qubit dsDNA HS","","BLUE","2026-05-28 11:53","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","111.322","111.322","","","500","27,636.6","27,636.6","","",
"17","3","490.148","6.969","ng/mL","1","1.394","ng/uL","Qubit dsDNA HS","Lw-2026-05-28","Qubit dsDNA HS","","BLUE","2026-05-28 11:54","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","111.322","111.322","","","500","27,636.6","27,636.6","","",
"18","4","988.244","15.863","ng/mL","1","3.173","ng/uL","Qubit dsDNA HS","Lw-2026-05-28","Qubit dsDNA HS","","BLUE","2026-05-28 11:54","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","111.322","111.322","","","500","27,636.6","27,636.6","","",
"19","5","840.842","13.244","ng/mL","1","2.649","ng/uL","Qubit dsDNA HS","Lw-2026-05-28","Qubit dsDNA HS","","BLUE","2026-05-28 11:54","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","111.322","111.322","","","500","27,636.6","27,636.6","","",
"20","6","816.175","12.805","ng/mL","1","2.561","ng/uL","Qubit dsDNA HS","Lw-2026-05-28","Qubit dsDNA HS","","BLUE","2026-05-28 11:55","General","36","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","111.322","111.322","","","500","27,636.6","27,636.6","","",
"1","","576.753","10.236","ng/mL","1","2,047.285","ng/mL","Qubit dsDNA HS","Wong-2026-05-29","Qubit dsDNA HS","","BLUE","2026-05-29 16:23","General","37","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","106.289","106.289","","","500","23,193.7","23,193.7","","",
"1","50","731.483","6.131","ng/uL","1","61.310","ng/uL","DeNovix Broad Range","Wong-2026-06-04","Linear","1","UV","2026-06-04 10:44","General","38","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","0","0","","","200","23,861.8","23,861.8","","",
"2","100","1,338.741","11.221","ng/uL","1","112.208","ng/uL","DeNovix Broad Range","Wong-2026-06-04","Linear","1","UV","2026-06-04 10:45","General","38","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","0","0","","","200","23,861.8","23,861.8","","",
"3","200","2,806.105","23.520","ng/uL","1","235.196","ng/uL","DeNovix Broad Range","Wong-2026-06-04","Linear","1","UV","2026-06-04 10:45","General","38","S-07457:DS11_FX_PLUS:v6.4.3:FC:DB178:","","N","0","0","0","","","200","23,861.8","23,861.8","","",
