"AO/PI "
"Result ID ","Account ","Sample Name ","Description ","Passage ","Created Date/Time ","Protocol ","Cell Line/Note ","Cell Outline ","DirectPipette (or Slide) ","Chamber Height ","Dilution Factor ","Protocol Min Diameter (um) ","Protocol Max Diameter (um) ","Live Roundness ","Dead Roundness ","Green Fluorescence Threshold ","Red Fluorescence Threshold ","Target Cells/mL ","Target Number of Cells ","Target Volume (mL) ","Original Volume (mL) ","Dilution Guidance ","Last Processed Date/Time ","View Volume (mL) ","Gating Min Diameter (um) ","Gating Max Diameter (um) ","Exposure ","Live Cell Count","Dead Cell Count","Total Cell Count","% Viability","Mean Diameter (um):","Live Cells/mL","Dead Cells/mL","Total Cells/mL","Irregular Cell Mode","Unclustered Cells","Cluster (2 Cells)","Cluster (3 Cells)","Cluster (4 Cells)","Cluster (5 Cells)","Clusters (6 or more)","BF Focus Offset","Software Version ","Firmware Version ","Instrument SN ","Dead cells 0 um ","Dead cells 1 um ","Dead cells 2 um ","Dead cells 3 um ","Dead cells 4 um ","Dead cells 5 um ","Dead cells 6 um ","Dead cells 7 um ","Dead cells 8 um ","Dead cells 9 um ","Dead cells 10 um ","Dead cells 11 um ","Dead cells 12 um ","Dead cells 13 um ","Dead cells 14 um ","Dead cells 15 um ","Dead cells 16 um ","Dead cells 17 um ","Dead cells 18 um ","Dead cells 19 um ","Dead cells 20 um ","Dead cells 21 um ","Dead cells 22 um ","Dead cells 23 um ","Dead cells 24 um ","Dead cells 25 um ","Dead cells 26 um ","Dead cells 27 um ","Dead cells 28 um ","Dead cells 29 um ","Dead cells 30 um ","Live cells 0 um ","Live cells 1 um ","Live cells 2 um ","Live cells 3 um ","Live cells 4 um ","Live cells 5 um ","Live cells 6 um ","Live cells 7 um ","Live cells 8 um ","Live cells 9 um ","Live cells 10 um ","Live cells 11 um ","Live cells 12 um ","Live cells 13 um ","Live cells 14 um ","Live cells 15 um ","Live cells 16 um ","Live cells 17 um ","Live cells 18 um ","Live cells 19 um ","Live cells 20 um ","Live cells 21 um ","Live cells 22 um ","Live cells 23 um ","Live cells 24 um ","Live cells 25 um ","Live cells 26 um ","Live cells 27 um ","Live cells 28 um ","Live cells 29 um ","Live cells 30 um ",
"97 ","General ","Sample Name ","  ","  ","2024-11-15 08:29:24 ","Default Protocol ","Default AOPI Protocol ","Enhanced ","Pipette ","100 ","2 ","4 ","30 ","1 ","1 ","1 ","1 ","N/A ","N/A ","0 ","0 ","  ","2024-11-15 08:29:24 ","0.00034022 ","4 ","30 ","-/-/-/-/1/24/1000/25/7/72/1000/30 ","114 ","129 ","243 ","46.9136 ","10.7778 ","6.70e+05 ","7.58e+05 ","1.43e+06 ","False ","229 ","7 ","0 ","0 ","0 ","0 ","0 ","v4.1.0 ","11.66 ","s-07097 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","1 ","2 ","106 ","16 ","3 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","2 ","1 ","7 ","29 ","32 ","7 ","8 ","10 ","8 ","6 ","2 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ",
"100 ","General ","Sample Name ","  ","  ","2024-11-15 10:31:05 ","New Protocol Name ","Default AOPI Protocol ","Enhanced ","Pipette ","100 ","2 ","4 ","30 ","20 ","10 ","10 ","1 ","N/A ","N/A ","0 ","0 ","  ","2024-11-15 10:31:05 ","0.000340242 ","4 ","30 ","-/-/-/-/1/24/1000/25/7/72/1000/30 ","133 ","140 ","273 ","48.7179 ","9.47985 ","7.82e+05 ","8.23e+05 ","1.60e+06 ","False ","259 ","7 ","0 ","0 ","0 ","0 ","0 ","v4.1.0 ","11.66 ","s-07097 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","0 ","4 ","134 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","2 ","6 ","113 ","6 ","4 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ",
"101 ","General ","Sample Name ","  ","  ","2024-11-15 10:34:58 ","New Protocol Name ","Default AOPI Protocol ","Enhanced ","Pipette ","100 ","2 ","4 ","30 ","20 ","10 ","10 ","1 ","5,000 ","N/A ","5 ","10 ","  ","2024-11-15 10:34:58 ","0.000340242 ","4 ","30 ","-/-/-/-/1/24/1000/25/7/72/1000/30 ","110 ","117 ","227 ","48.4581 ","11.1586 ","6.47e+05 ","6.88e+05 ","1.33e+06 ","False ","215 ","6 ","0 ","0 ","0 ","0 ","0 ","v4.1.0 ","11.66 ","s-07097 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","3 ","75 ","24 ","9 ","3 ","2 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","3 ","5 ","22 ","14 ","12 ","6 ","11 ","14 ","7 ","10 ","2 ","3 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ",
"105 ","General ","Sample Name ","  ","  ","2025-03-27 09:35:52 ","Default Protocol ","Default AOPI Protocol ","Enhanced ","Pipette ","100 ","2 ","4 ","30 ","1 ","1 ","1 ","1 ","N/A ","N/A ","0 ","0 ","  ","2025-03-27 09:35:52 ","0.00034022 ","4 ","30 ","-/-/-/-/1/24/1000/25/7/72/1000/30 ","45 ","44 ","89 ","50.5618 ","11.7528 ","2.65e+05 ","2.59e+05 ","5.23e+05 ","False ","74 ","6 ","1 ","0 ","0 ","0 ","0 ","v4.1.8 ","11.66 ","s-07097 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","0 ","2 ","23 ","9 ","4 ","4 ","0 ","0 ","0 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","3 ","14 ","4 ","2 ","1 ","2 ","0 ","4 ","3 ","7 ","0 ","3 ","2 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ",
"106 ","General ","Sample Name ","  ","  ","2025-03-27 09:38:07 ","Default Protocol ","Default AOPI Protocol ","Enhanced ","Pipette ","100 ","2 ","4 ","30 ","1 ","1 ","1 ","1 ","N/A ","N/A ","0 ","0 ","  ","2025-03-27 09:38:07 ","0.00034022 ","4 ","30 ","-/-/-/-/1/24/1000/25/7/72/1000/30 ","20 ","31 ","51 ","39.2157 ","10.9412 ","1.18e+05 ","1.82e+05 ","3.00e+05 ","False ","29 ","5 ","2 ","0 ","0 ","1 ","0 ","v4.1.8 ","11.66 ","s-07097 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","2 ","8 ","15 ","2 ","3 ","0 ","0 ","0 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","3 ","3 ","1 ","1 ","0 ","2 ","3 ","2 ","1 ","0 ","0 ","0 ","1 ","1 ","0 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ",
"107 ","General ","Sample Name ","  ","  ","2025-03-27 09:39:52 ","Default Protocol ","Default AOPI Protocol ","Enhanced ","Pipette ","100 ","2 ","4 ","30 ","1 ","1 ","1 ","1 ","N/A ","N/A ","0 ","0 ","  ","2025-03-27 09:39:52 ","0.00034022 ","4 ","30 ","-/-/-/-/1/24/1000/25/7/72/1000/30 ","288 ","445 ","733 ","39.2906 ","10.7585 ","1.69e+06 ","2.62e+06 ","4.31e+06 ","False ","468 ","110 ","15 ","0 ","0 ","0 ","0 ","v4.1.8 ","11.66 ","s-07097 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","2 ","8 ","301 ","85 ","19 ","7 ","9 ","8 ","3 ","0 ","0 ","0 ","0 ","0 ","0 ","2 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","4 ","2 ","116 ","26 ","45 ","13 ","14 ","16 ","5 ","14 ","11 ","8 ","4 ","3 ","4 ","1 ","1 ","0 ","0 ","0 ","1 ","0 ","0 ",
"111 ","General ","Sample Name ","  ","  ","2025-03-27 11:57:28 ","Default Protocol ","Default AOPI Protocol ","Enhanced ","Pipette ","100 ","2 ","4 ","30 ","1 ","1 ","1 ","1 ","N/A ","N/A ","0 ","0 ","  ","2025-03-27 11:57:28 ","0.00034022 ","4 ","30 ","-/-/-/-/0/20/1000/25/7/72/1000/30 ","173 ","129 ","302 ","57.2848 ","9.47682 ","1.02e+06 ","7.58e+05 ","1.78e+06 ","False ","214 ","39 ","2 ","1 ","0 ","0 ","0 ","v4.1.8 ","11.66 ","s-07097 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","8 ","96 ","20 ","3 ","0 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","0 ","5 ","75 ","71 ","11 ","6 ","2 ","1 ","0 ","0 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ",
"132 ","General ","Sample Name ","  ","  ","2025-08-09 09:59:56 ","Default Protocol ","Default AOPI Protocol ","Enhanced ","Pipette ","100 ","2 ","4 ","30 ","1 ","1 ","1 ","1 ","N/A ","N/A ","0 ","0 ","  ","2025-08-09 09:59:56 ","0.00034022 ","4 ","30 ","-/-/-/-/1/24/1000/25/1/24/1000/30 ","0 ","0 ","0 ","0 ","0 ","0.00e+00 ","0.00e+00 ","0.00e+00 ","False ","0 ","0 ","0 ","0 ","0 ","0 ","-1,882 ","v4.3.1 ","11.66 ","s-07097 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ",
"156 ","General ","Sample Name ","  ","  ","2026-02-23 09:47:56 ","Default Protocol ","Default AOPI Protocol ","Enhanced ","Pipette ","100 ","2 ","4 ","30 ","1 ","1 ","1 ","1 ","N/A ","N/A ","0 ","0 ","  ","2026-02-23 09:47:56 ","0.00034022 ","4 ","30 ","-/-/-/-/3/35/1000/25/1/24/1000/30 ","16 ","10 ","26 ","61.5385 ","11.8077 ","9.41e+04 ","5.88e+04 ","1.53e+05 ","False ","26 ","0 ","0 ","0 ","0 ","0 ","-1,882 ","v4.3.4 ","11.66 ","s-07097 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","7 ","2 ","0 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","5 ","2 ","0 ","0 ","1 ","4 ","2 ","2 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ",
"158 ","General ","Sample Name ","  ","  ","2026-02-23 09:49:21 ","Default Protocol ","Default AOPI Protocol ","Enhanced ","Pipette ","100 ","2 ","4 ","30 ","1 ","1 ","1 ","1 ","N/A ","N/A ","0 ","0 ","  ","2026-02-23 09:49:21 ","0.00034022 ","4 ","30 ","-/-/-/-/1/24/1000/25/1/24/1000/30 ","84 ","86 ","170 ","49.4118 ","9.82353 ","4.94e+05 ","5.06e+05 ","9.99e+05 ","False ","154 ","8 ","0 ","0 ","0 ","0 ","-1,888 ","v4.3.4 ","11.66 ","s-07097 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","16 ","60 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","0 ","3 ","2 ","52 ","7 ","9 ","3 ","3 ","2 ","1 ","0 ","0 ","0 ","0 ","0 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ",
